site,sign_hx,sign_hy,sign_hz,sign_ex,sign_ey,sign_source,e_exchange,e_exchange_source,e_shift_s,e_shift_source,h_exchange,h_gain,h_gain_source,h_lender,h_lender_channels,h_lender_source,rot_regimes,rot_drop,windows,keep_mask,remote_site,remote_source,stack_members,flags
Q46N,decide,decide,decide,+1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q68N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q47N,decide,decide,decide,+1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q82,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q48N,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q59N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q56N,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q82,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q57N,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q69N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q58N,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q59N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q59N,decide,decide,decide,-1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q69N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q66N,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q78N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q67N,decide,decide,decide,+1,+1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q68N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
Q68N,decide,decide,decide,-1,-1,"campaign rule -s_orient on the sheet direction (0/90 -> -1, 180/270 -> +1); overrides qld_phase1.py E_SIGN_OVERRIDE",decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,decide,Q69N,"D:/BEN/MTH5_Aurora_mt-io_2026/work/campaign_v2/phase2_master.csv, column p2_remote",decide,decide
