site,raw_path,instrument,serial,serial_source,layout,sample_rate_hz,files,start_utc,end_utc,days,date_correction,lat,lon,elev_m,position_source,position_scatter_m,dipole_n_m,dipole_e_m,dipole_source,azimuth_n_deg,azimuth_e_deg,azimuth_source,declination_deg,observatory,notes
Q46N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q46N,PR6-24+Mag-03,60965,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7905,2026-03-12 01:00:00+00:00,2026-05-16 21:31:59.900000+00:00,65.856,+1024 weeks,-24.99539,145.27844,294.0,"EDL .gps median over 66 daily files, >= 3 satellites",3.2558946337944263,10.9,9.4,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",180,270,deployment sheet (direction as laid),8.034,CTA,Low freq noise on Bz - nosiy under 10s
Q47N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q47N,PR6-24+Mag-03,60963,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7905,2026-03-11 22:00:00+00:00,2026-05-16 18:41:59.900000+00:00,65.862,+1024 weeks,-24.87415,146.19833,389.0,"EDL .gps median over 67 daily files, >= 3 satellites",2.4032209900917465,9.6,11.8,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",180,270,deployment sheet (direction as laid),8.287,CTA,"All cable BROKEN, N(box) went to West, E(box) went to South; Ex & Ey has been Swaped"
Q48N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q48N,PR6-24+Mag-03,60962,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7215,2026-03-11 04:00:00+00:00,2026-05-15 10:50:59.900000+00:00,65.285,+1024 weeks,-24.81483,146.91682,603.0,"EDL .gps median over 65 daily files, >= 3 satellites",4.8899077575602075,9.2,10.8,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,270,deployment sheet (direction as laid),8.492,CTA,Center been pulled out; NEED detrend
Q56N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q56N,PR6-24+Mag-03,60969,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7795,2026-03-14 00:00:00+00:00,2026-05-17 22:18:59.900000+00:00,64.93,+1024 weeks,-26.07214,144.07719,244.0,"EDL .gps median over 65 daily files, >= 3 satellites",3.4860827296086803,12,10.7,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),7.917,CTA,Problem in the middle chunk
Q57N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q57N,PR6-24+Mag-03,62218,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7720,2026-03-14 03:00:00+00:00,2026-05-17 18:56:59.900000+00:00,64.665,+1024 weeks,-25.96561,144.8286,266.0,"EDL .gps median over 65 daily files, >= 3 satellites",2.252197167621736,10.3,11.9,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,270,deployment sheet (direction as laid),8.128,CTA,Box is burnt. Replaced with center control #29; Remove Spike
Q58N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q58N,PR6-24+Mag-03,61002,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7895,2026-03-07 22:00:00+00:00,2026-05-12 16:26:59.900000+00:00,65.769,+1024 weeks,-26.12651,146.02506,315.0,"EDL .gps median over 68 daily files, >= 3 satellites",3.485949460614358,9,11.9,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),8.546,CTA,Center cable broken; Remove Spike
Q59N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q59N,PR6-24+Mag-03,62217,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7895,2026-03-10 23:00:00+00:00,2026-05-15 17:13:59.900000+00:00,65.76,+1024 weeks,-26.00421,146.98991,475.0,"EDL .gps median over 67 daily files, >= 3 satellites",1.8749364390451344,12.1,12.3,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,270,deployment sheet (direction as laid),8.816,CTA,West and Center been pulled out
Q66N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q66N,PR6-24+Mag-03,60771,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7905,2026-03-05 23:50:11+00:00,2026-05-10 18:16:59.900000+00:00,65.769,+1024 weeks,-27.51519,142.07606,76.0,"EDL .gps median over 67 daily files, >= 3 satellites",3.4467590527127894,10.2,10.9,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),7.614,CTA,North cable broken; Zxy - North cable been broken at the beginning?
Q67N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q67N,PR6-24+Mag-03,60966,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7895,2026-03-06 03:00:00+00:00,2026-05-10 21:23:59.900000+00:00,65.767,+1024 weeks,-26.93672,142.93665,166.0,"EDL .gps median over 67 daily files, >= 3 satellites",2.3847804020372867,9,9.8,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",180,270,deployment sheet (direction as laid),7.758,CTA,"Rocky Soil; Noisy from 15/MAR, try to reduce the daily temperature variation"
Q68N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q68N,PR6-24+Mag-03,60968,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7900,2026-03-06 23:00:00+00:00,2026-05-11 17:43:59.900000+00:00,65.781,+1024 weeks,-26.9821,144.00249,197.5,"EDL .gps median over 67 daily files, >= 3 satellites",2.8414119710547667,14.8,14.3,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),8.115,CTA,East Cable been chewed by goats
Q69N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q69N,PR6-24+Mag-03,61000,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7905,2026-03-07 02:57:59+00:00,2026-05-11 21:28:59.900000+00:00,65.772,+1024 weeks,-26.78643,145.0421,240.0,"EDL .gps median over 66 daily files, >= 3 satellites",4.497917809664128,12.1,10,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,270,deployment sheet (direction as laid),8.402,CTA,beside the day folders: config log temp
Q70N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q70N,PR6-24+Mag-03,62219,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7865,2026-03-08 01:00:00+00:00,2026-05-12 13:41:59.900000+00:00,65.529,+1024 weeks,-26.99866,146.03082,255.0,"EDL .gps median over 66 daily files, >= 3 satellites",2.2263999999157136,10,10.6,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),8.774,CTA,beside the day folders: config log temp
Q71N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q71N,PR6-24+Mag-03,62138,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7885,2026-03-09 00:55:00+00:00,2026-05-13 16:27:59.900000+00:00,65.648,+1024 weeks,-26.92743,147.0516,355.5,"EDL .gps median over 66 daily files, >= 3 satellites",4.468859027565246,9.4,9.2,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),9.08,CTA,CHECK WITH BART! CABLE PROBLEM; Bx from 06/Apr
Q78N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q78N,PR6-24+Mag-03,62221,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7880,2026-03-05 05:00:00+00:00,2026-05-09 20:09:59.900000+00:00,65.632,+1024 weeks,-28.0558,142.37597,118.0,"EDL .gps median over 66 daily files, >= 3 satellites",2.258220001389275,10.9,10.5,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),7.844,CTA,beside the day folders: config log temp
Q79N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q79N,PR6-24+Mag-03,62136,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7880,2026-03-05 02:00:00+00:00,2026-05-09 17:21:59.900000+00:00,65.64,+1024 weeks,-27.72751,142.98546,142.0,"EDL .gps median over 66 daily files, >= 3 satellites",2.4347102875176034,11,11,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),7.967,CTA,beside the day folders: config log temp
Q80N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q80N,PR6-24+Mag-03,62220,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7880,2026-03-04 01:00:00+00:00,2026-05-08 16:13:59.900000+00:00,65.635,+1024 weeks,-27.98869,143.91486,142.0,"EDL .gps median over 66 daily files, >= 3 satellites",2.2264000003112017,9.2,9.5,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),8.342,CTA,beside the day folders: config log temp
Q81N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q81N,PR6-24+Mag-03,60993,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7910,2026-03-03 22:18:00+00:00,2026-05-08 17:08:59.900000+00:00,65.785,+1024 weeks,-28.155,145.00902,159.0,"EDL .gps median over 67 daily files, >= 3 satellites",2.4331378225837232,11,12.3,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),8.749,CTA,beside the day folders: config log temp
Q82,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase2\Q82,PR6-24+Mag-03,62222,campaign_v2/phase2_master.csv serial column,edl_dayofyear,10.0,7875,2026-03-03 05:00:00+00:00,2026-05-07 19:59:59.900000+00:00,65.625,+1024 weeks,-28.01858,146.00334,194.0,"EDL .gps median over 66 daily files, >= 3 satellites",3.481189733179948,9.2,9.4,"deployment sheet QLD_AusLAMP_process.xlsx sheet Phase2 transcribed 2026-09-16, confidence not recorded",0,90,deployment sheet (direction as laid),9.04,CTA,beside the day folders: config log temp
