site,component,product,periods_lo,periods_hi,join,chosen_by,note,date
Q78N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q78N,xy,remote_1hz,2.303480305358564,8339.914916188025,,rule,,2026-09-17
Q78N,yx,remote_1hz,2.303480305358564,8339.914916188025,,rule,,2026-09-17
Q79N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q79N,xy,remote_1hz,2.303480305358564,48470.44248182238,,rule,,2026-09-17
Q79N,yx,remote_1hz,2.303480305358564,10203.941068158756,,rule,,2026-09-17
Q80N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q80N,xy,remote_1hz,2.303480305358564,8339.914916188025,,rule,,2026-09-17
Q80N,yx,remote_1hz,2.303480305358564,12117.610620455594,,rule,,2026-09-17
Q81N,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q81N,xy,stack_1hz,2.8009101837733192,4263.772304325896,,rule,,2026-09-17
Q81N,yx,remote_1hz,4.36555784407799,4263.772304325896,,rule,,2026-09-17
Q82,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q82,xy,stack_1hz,3.503810043040803,48470.44248182238,,rule,,2026-09-17
Q82,yx,stack_1hz,8.164091712140657,8339.914916188025,,rule,,2026-09-17
