site,raw_path,instrument,serial,serial_source,layout,sample_rate_hz,files,start_utc,end_utc,days,date_correction,lat,lon,elev_m,position_source,position_scatter_m,dipole_n_m,dipole_e_m,dipole_source,azimuth_n_deg,azimuth_e_deg,azimuth_source,declination_deg,observatory,notes
Q49,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q49,PR6-24+Mag-03,62138,"125 GPS-locked boot records inside the deployment window; file holds 1 serial(s), majority 62138 agrees",edl_dayofyear,10.0,7279,2025-09-28 00:00:00+00:00,2025-11-27 15:16:59.900000+00:00,60.637,+1024 weeks,-25.0846,148.28356,432.0,"EDL .gps median over 61 daily files, >= 3 satellites",6.688911455936786,10.2,11.2,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),8.978,CTA,Ey laid WEST; sensor 1185; '5948' in the Box Number field with 18 written above it; SD 5650 struck out
Q50,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q50,PR6-24+Mag-03,60968,"2 GPS-locked boot records inside the deployment window; file holds 1 serial(s), majority 60968 agrees",edl_dayofyear,10.0,7370,2025-09-28 03:00:00+00:00,2025-11-28 12:38:59.900000+00:00,61.402,+1024 weeks,-24.98683,149.06128,368.0,"EDL .gps median over 62 daily files, >= 3 satellites",4.5656904079682485,10.5,12.2,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),9.186,CTA,SD 5950; batt 13.2
Q51,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q51,PR6-24+Mag-03,61002,"NO boot of this deployment reached satellite lock, so every one of its 130 records stamps 01/01/99 and no date places it; taken from the file majority (130 of 173 records over 2 serial(s))",edl_dayofyear,10.0,7325,2025-09-29 00:00:00+00:00,2025-11-29 00:38:59.900000+00:00,61.027,+1024 weeks,-24.99869,150.04296,176.0,"EDL .gps median over 62 daily files, >= 3 satellites",4.539318841284934,9,9.5,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),9.481,CTA,deploy note 'ants'; SD 5976; sensor/coil 1123
Q52N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q52N,PR6-24+Mag-03,62222,"128 GPS-locked boot records inside the deployment window; file holds 3 serial(s), majority 62222 agrees",edl_dayofyear,10.0,7415,2025-09-29 03:00:00+00:00,2025-11-29 21:24:59.900000+00:00,61.767,+1024 weeks,-24.97852,151.10465,220.0,"EDL .gps median over 62 daily files, >= 3 satellites",6.347457037052054,9,9.5,"deployment sheet transcribed 2026-09-05, confidence medium",0,270,deployment sheet (direction as laid),9.788,CTA,"Ey laid WEST; deploy W-N 1.8, G-? 9.8; PICKUP: W-N 17.5, water flowing along road, check if water in Bart, site visited by farmer 30/11; HDD 5975"
Q53N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q53N,PR6-24+Mag-03,60962,"1 GPS-locked boot records inside the deployment window; file holds 3 serial(s), majority 60962 agrees",edl_dayofyear,10.0,7325,2025-09-30 00:00:00+00:00,2025-11-30 00:49:59.900000+00:00,61.035,+1024 weeks,-25.00111,151.98574,77.0,"EDL .gps median over 62 daily files, >= 3 satellites",4.608979182647091,10.1,10,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),10.049,CTA,SD 5455; sensor 1119; N-G 1.9 kohm / 23.0 mV
Q60N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q60N,PR6-24+Mag-03,62221,"127 GPS-locked boot records inside the deployment window; file holds 3 serial(s), majority 62221 agrees",edl_dayofyear,10.0,7300,2025-09-27 03:00:00+00:00,2025-11-26 22:40:59.900000+00:00,60.82,+1024 weeks,-25.91745,147.89149,418.0,"EDL .gps median over 61 daily files, >= 3 satellites",4.931235511713792,11,10,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),9.075,CTA,Ey laid WEST; SD 5956; batt 13.2
Q61N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q61N,PR6-24+Mag-03,61000,"126 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 61000 agrees",edl_dayofyear,10.0,7270,2025-09-27 00:00:00+00:00,2025-11-26 13:56:59.900000+00:00,60.581,+1024 weeks,-26.05752,149.05962,296.0,"EDL .gps median over 61 daily files, >= 3 satellites",3.280408484822753,9,18.2,"deployment sheet transcribed 2026-09-05, confidence low",0,90,deployment sheet (direction as laid),9.471,CTA,Ey 8.2 m recorded across the East/West columns; SD card number struck out; 5452 written beside box 14
Q62N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q62N,PR6-24+Mag-03,60966,"1 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 60966 agrees",edl_dayofyear,10.0,7390,2025-09-26 03:00:00+00:00,2025-11-26 16:23:59.900000+00:00,61.558,+1024 weeks,-25.94836,149.90252,246.0,"EDL .gps median over 62 daily files, >= 3 satellites",4.044685436728301,10.3,8.7,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),9.696,CTA,"HDD 5962; sensor 1129; EDL-LP mag, silver electrodes"
Q63,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q63,PR6-24+Mag-03,60771,"NO boot of this deployment reached satellite lock, so every one of its 129 records stamps 01/01/99 and no date places it; taken from the file majority (129 of 174 records over 3 serial(s))",edl_dayofyear,10.0,7265,2025-09-26 00:00:00+00:00,2025-11-25 12:42:59.900000+00:00,60.53,+1024 weeks,-25.9634,151.11663,320.0,"EDL .gps median over 61 daily files, >= 3 satellites",5.987871836492899,9,9,"deployment sheet transcribed 2026-09-05, confidence high",180,270,deployment sheet (direction as laid),10.064,CTA,Ex SOUTH 9.0 m and Ey WEST 9.0 m; plenty of cows; limestone rocks; sensor 1184; SD 5952; N-G 5.26 kohm
Q64N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q64N,PR6-24+Mag-03,60993,"82 GPS-locked boot records inside the deployment window; file holds 3 serial(s), majority 60993 agrees",edl_dayofyear,10.0,7315,2025-09-25 03:00:00+00:00,2025-11-25 01:29:59.900000+00:00,60.937,+1024 weeks,-25.99227,152.01087,226.0,"EDL .gps median over 62 daily files, >= 3 satellites",4.467844443636074,13.9,9,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),10.336,CTA,Ey laid WEST; SD 5949; Bart/sensor 1183
