site,dipole_n_m,dipole_e_m,source
Q49,10.2,11.2,"deployment sheet transcribed 2026-09-05, confidence high"
Q50,10.5,12.2,"deployment sheet transcribed 2026-09-05, confidence high"
Q51,9,9.5,"deployment sheet transcribed 2026-09-05, confidence high"
Q52N,9,9.5,"deployment sheet transcribed 2026-09-05, confidence medium"
Q53N,10.1,10,"deployment sheet transcribed 2026-09-05, confidence high"
Q60N,11,10,"deployment sheet transcribed 2026-09-05, confidence high"
Q61N,9,18.2,"deployment sheet transcribed 2026-09-05, confidence low"
Q62N,10.3,8.7,"deployment sheet transcribed 2026-09-05, confidence high"
Q63,9,9,"deployment sheet transcribed 2026-09-05, confidence high"
Q64N,13.9,9,"deployment sheet transcribed 2026-09-05, confidence high"
Q65,10.6,10.4,"deployment sheet transcribed 2026-09-05, confidence medium"
Q72N,9.7,9,"deployment sheet transcribed 2026-09-05, confidence high"
Q73,6.5,10,"deployment sheet transcribed 2026-09-05, confidence high"
Q74N,10.5,9.2,"deployment sheet transcribed 2026-09-05, confidence high"
Q75,9.7,9.3,"deployment sheet transcribed 2026-09-05, confidence high"
Q76ALT,9.5,9.3,"deployment sheet transcribed 2026-09-05, confidence high"
Q77N,9.5,8.5,"deployment sheet transcribed 2026-09-05, confidence high"
Q83,11.5,9.5,"deployment sheet transcribed 2026-09-05, confidence high"
Q84,12,10.5,"deployment sheet transcribed 2026-09-05, confidence high"
Q85N,12.1,11.1,"deployment sheet transcribed 2026-09-05, confidence high"
Q86N,10.6,9.9,"deployment sheet transcribed 2026-09-05, confidence high"
Q87,6.8,8.9,"deployment sheet transcribed 2026-09-05, confidence high"
Q88N,9.67,10.4,"deployment sheet transcribed 2026-09-05, confidence high"
