site,dipole_n_m,dipole_e_m,source
Q17,11.3,9.5,"deployment sheet transcribed 2026-09-05, confidence high"
Q21,12.6,13,"deployment sheet transcribed 2026-09-05, confidence medium"
Q22,14,10,"deployment sheet transcribed 2026-09-05, confidence high"
Q27,10.95,12.41,"deployment sheet transcribed 2026-09-05, confidence high"
Q28,9.3,9.1,"deployment sheet transcribed 2026-09-05, confidence high"
Q31,11.14,9.45,"deployment sheet transcribed 2026-09-05, confidence high"
Q32,13.1,8.1,"deployment sheet transcribed 2026-09-05, confidence high"
Q33,10.9,9.8,"deployment sheet transcribed 2026-09-05, confidence high"
Q34,10.6,11.2,"deployment sheet transcribed 2026-09-05, confidence high"
Q38,9.42,9.4,"deployment sheet transcribed 2026-09-05, confidence high"
Q39,10.6,9.2,"deployment sheet transcribed 2026-09-05, confidence high"
Q44,11.85,11.35,"deployment sheet transcribed 2026-09-05, confidence high"
Q45,9.8,12.1,"deployment sheet transcribed 2026-09-05, confidence high"
Q54,10.8,10.2,"deployment sheet transcribed 2026-09-05, confidence high"
Q55,13,9.7,"deployment sheet transcribed 2026-09-05, confidence high"
