site,component,product,periods_lo,periods_hi,join,chosen_by,note,date
Q28,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q28,xy,remote_1hz@first,2.303480305358564,5786.970058216919,,rule,,2026-09-17
Q28,yx,obs_1hz@first,3.503810043040803,5786.970058216919,,rule,,2026-09-17
Q32,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q32,xy,remote_1hz@first,11.958831483441624,12117.610620455594,,rule,,2026-09-17
Q32,yx,remote_1hz@first,9.891989368089828,12117.610620455594,,rule,,2026-09-17
Q33,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q33,xy,remote_1hz@first,2.3034803053585633,8339.914916188025,,rule,,2026-09-17
Q33,yx,remote_1hz@first,2.3034803053585633,8339.914916188025,,rule,,2026-09-17
Q34,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q34,xy,remote_1hz@first,8.164091712140657,3302.704055918743,,rule,,2026-09-17
Q34,yx,obs_1hz@first,9.891989368089828,4263.772304325896,,rule,,2026-09-17
Q39,tipper,xy,,,,rule,neither fault fires,2026-09-17
Q39,xy,stack_1hz@first,11.958831483441624,3302.704055918743,,rule,,2026-09-17
Q39,yx,obs_1hz@first,9.891989368089828,3302.704055918743,,rule,,2026-09-17
